Embeding,Source,Links,Link2,Links3,Method,Category,Original Dimensions
CPC-PROT,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,https://github.com/amyxlu/,RNN,amino acid sequence,"(18493, 512)"
SEQVEC,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,-,RNN,amino acid sequence,"(18910, 1024)"
LEARNED-VEC,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,https://github.com/fhalab/embeddings_reproduction/,skip-gram/CBOW,amino acid sequence,"(18910, 64)"
PROTVEC,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,https://github.com/ehsanasgari/Deep-Proteomics,skip-gram/CBOW,amino acid sequence,"(18910, 100)"
UNIREP,PROBE,https://www.nature.com/articles/s42256-022-00457-9.epdf?sharing_token=A2utVNZ1vXlbr5XTXkHiitRgN0jAjWel9jnR3ZoTv0MacBCzqe2MkkR1OzTu6tfSI3Ap0J4WiqYTCJ_s9kGBgv3k163_6-Yli8a9nq6k1A0f9pSP7I-uuErOIaQ8YYsTn2bq7Uv7IrJEHA18R_n8ZOR4e4ueRFzbhowQaotdnV8%3D,https://drive.google.com/drive/u/0/folders/1WmYyaBhOYtI4Hzbsg2sTQHRN6LVrYFhw,https://github.com/churchlab/UniRep,RNN,amino acid sequence,"(18910, 5700)"
GENEPT-ADA,,https://www.biorxiv.org/content/10.1101/2023.10.16.562533v1.full.pdf,https://zenodo.org/records/10833191,https://github.com/yiqunchen/GenePT?tab=readme-ov-file,Transformer,biomedical literature,"(33833, 1536)"
GENEPT-MODEL3,,https://www.biorxiv.org/content/10.1101/2023.10.16.562533v1.full.pdf,https://zenodo.org/records/10833191,https://github.com/yiqunchen/GenePT?tab=readme-ov-file,Transformer,biomedical literature,"(33837, 3072)"
MASHUP,,https://www.cell.com/cell-systems/fulltext/S2405-4712(16)30360-X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS240547121630360X%3Fshowall%3Dtrue,-,https://cb.csail.mit.edu/mashup/,matrix factorization,PPI,"(21503, 800)"
SCGPT-HUMAN,,https://www.nature.com/articles/s41592-024-02201-0,https://drive.google.com/drive/folders/1oWh_-ZRdhtoGQ2Fw24HP41FgLoomVo-y,https://github.com/bowang-lab/scGPT?tab=readme-ov-file,Transformer,gene expression (single cell),"(38714, 512)"
SCGPT-PANCANCER,,https://www.nature.com/articles/s41592-024-02201-0,https://drive.google.com/drive/folders/13QzLHilYUd0v3HTwa_9n4G4yEF-hdkqa,https://github.com/bowang-lab/scGPT?tab=readme-ov-file,Transformer,gene expression (single cell),"(38714, 512)"
BIOCONCEPTVEC-CBOW,,https://arxiv.org/ftp/arxiv/papers/1912/1912.10846.pdf,-,https://github.com/ncbi/BioConceptVec?tab=readme-ov-file,skip-gram/CBOW,biomedical literature,"(20917, 100)"
BIOCONCEPTVEC-SKIP-GRAM,,https://arxiv.org/ftp/arxiv/papers/1912/1912.10846.pdf,-,https://github.com/ncbi/BioConceptVec?tab=readme-ov-file,skip-gram/CBOW,biomedical literature,"(20917, 100)"
BIOCONCEPTVEC-GLOVE,,https://arxiv.org/ftp/arxiv/papers/1912/1912.10846.pdf,-,https://github.com/ncbi/BioConceptVec?tab=readme-ov-file,matrix factorization,biomedical literature,"(20917, 100)"
BIOCONCEPTVEC-FASTTEXT,,https://arxiv.org/ftp/arxiv/papers/1912/1912.10846.pdf,-,https://github.com/ncbi/BioConceptVec?tab=readme-ov-file,skip-gram/CBOW,biomedical literature,"(20917, 100)"
FROGS-ARCHS4,,https://www.nature.com/articles/s41467-024-46089-y,-,https://github.com/chenhcs/FRoGS?tab=readme-ov-file#citation,MLP,gene expression (bulk),"(22970, 256)"
GF-6L30M,,https://www.nature.com/articles/s41586-023-06139-9#data-availability,-,https://huggingface.co/ctheodoris/Geneformer,Transformer,gene expression (single cell),"(21228, 256) "
GF-12L30M,,https://www.nature.com/articles/s41586-023-06139-9#data-availability,-,https://huggingface.co/ctheodoris/Geneformer,Transformer,gene expression (single cell),"(21228, 512) "
GF-12L95M,,https://www.nature.com/articles/s41586-023-06139-9#data-availability,-,https://huggingface.co/ctheodoris/Geneformer,Transformer,gene expression (single cell),"(19523, 512) "
GF-12L95MCANCER,,https://www.nature.com/articles/s41586-023-06139-9#data-availability,-,https://huggingface.co/ctheodoris/Geneformer,Transformer,gene expression (single cell),"(19523, 512) "
GF-20L95M,,https://www.nature.com/articles/s41586-023-06139-9#data-availability,-,https://huggingface.co/ctheodoris/Geneformer,Transformer,gene expression (single cell),"(19523, 896)"
PPI-RAW,,,,,non-ML,PPI,"(20363, 20363)"
